90,#2,NB_1to2,NB_K_1to2,NB_0to2,NB_K_0to2,SVM_1_1to2,SVM_2_1to2,SVM_3_1to2,SVM_1_0to2,SVM_2_0to2,SVM_3_0to2,RF_5_1to2,RF_10_1to2,RF_15_1to2,RF_20_1to2,RF_5_0to2,RF_10_0to2,RF_15_0to2,RF_20_0to2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2,69.48,67.04,69.69,67.69,51.63,53.75,60.06,51.72,56.07,59.79,71.48,73.15,74.53,74.83,69.2,70.71,72.18,72.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,#3,NB_2to3,NB_K_2to3,NB_1to3,NB_K_1to3,NB_0to3,NB_K_0to3,SVM_1_2to3,SVM_2_2to3,SVM_3_2to3,SVM_1_1to3,SVM_2_1to3,SVM_3_1to3,SVM_1_0to3,SVM_2_0to3,SVM_3_0to3,RF_5_2to3,RF_10_2to3,RF_15_2to3,RF_20_2to3,RF_5_1to3,RF_10_1to3,RF_15_1to3,RF_20_1to3,RF_5_0to3,RF_10_0to3,RF_15_0to3,RF_20_0to3,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,3,73.45,72.37,72.8,72.19,72.61,72.05,51.96,51.94,51.1,51.46,52.58,54.14,51.29,52.85,54.98,61.91,61.27,62.27,61.64,65.77,66.84,66.73,66.76,66.71,67.83,67.42,67.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,#4,NB_3to4,NB_K_3to4,NB_2to4,NB_K_2to4,NB_1to4,NB_K_1to4,NB_0to4,NB_K_0to4,SVM_1_3to4,SVM_2_3to4,SVM_3_3to4,SVM_1_2to4,SVM_2_2to4,SVM_3_2to4,SVM_1_1to4,SVM_2_1to4,SVM_3_1to4,SVM_1_0to4,SVM_2_0to4,SVM_3_0to4,RF_5_3to4,RF_10_3to4,RF_15_3to4,RF_20_3to4,RF_5_2to4,RF_10_2to4,RF_15_2to4,RF_20_2to4,RF_5_1to4,RF_10_1to4,RF_15_1to4,RF_20_1to4,RF_5_0to4,RF_10_0to4,RF_15_0to4,RF_20_0to4,,,,,,,,,,,,,,,,,,
90,4,71.59,72.68,71.19,72.65,71.16,72.37,70.87,71.8,52.5,55.25,53,52.38,55.76,55.64,52,55.59,56.52,51.81,55.38,56.95,66.17,71.67,70.85,71.38,69.71,74.46,73.85,74.38,71.92,75.62,74.87,75.16,72.46,76.05,75.63,75.85,,,,,,,,,,,,,,,,,,
90,#5,NB_4to5,NB_K_4to5,NB_3to5,NB_K_3to5,NB_2to5,NB_K_2to5,NB_1to5,NB_K_1to5,NB_0to5,NB_K_0to5,SVM_1_4to5,SVM_2_4to5,SVM_3_4to5,SVM_1_3to5,SVM_2_3to5,SVM_3_3to5,SVM_1_2to5,SVM_2_2to5,SVM_3_2to5,SVM_1_1to5,SVM_2_1to5,SVM_3_1to5,SVM_1_0to5,SVM_2_0to5,SVM_3_0to5,RF_5_4to5,RF_10_4to5,RF_15_4to5,RF_20_4to5,RF_5_3to5,RF_10_3to5,RF_15_3to5,RF_20_3to5,RF_5_2to5,RF_10_2to5,RF_15_2to5,RF_20_2to5,RF_5_1to5,RF_10_1to5,RF_15_1to5,RF_20_1to5,RF_5_0to5,RF_10_0to5,RF_15_0to5,RF_20_0to5,,,,,,,,,
90,5,66.92,67.29,67.1,68.71,67.86,69.85,69.18,71.16,69.43,71.93,50,51.52,51.46,49.67,52.9,52.32,49.67,52.08,53.07,49.67,52.03,51.77,49.59,51.98,52.45,63.75,66.52,68,68.56,66.52,66.74,68.61,68.99,64.5,65.44,67.38,67.6,63.8,65.79,66.88,67.03,64.62,66.2,67.25,67.45,,,,,,,,,
90,#6,NB_5to6,NB_K_5to6,NB_4to6,NB_K_4to6,NB_3to6,NB_K_3to6,NB_2to6,NB_K_2to6,NB_1to6,NB_K_1to6,NB_0to6,NB_K_0to6,SVM_1_5to6,SVM_2_5to6,SVM_3_5to6,SVM_1_4to6,SVM_2_4to6,SVM_3_4to6,SVM_1_3to6,SVM_2_3to6,SVM_3_3to6,SVM_1_2to6,SVM_2_2to6,SVM_3_2to6,SVM_1_1to6,SVM_2_1to6,SVM_3_1to6,SVM_1_0to6,SVM_2_0to6,SVM_3_0to6,RF_5_5to6,RF_10_5to6,RF_15_5to6,RF_20_5to6,RF_5_4to6,RF_10_4to6,RF_15_4to6,RF_20_4to6,RF_5_3to6,RF_10_3to6,RF_15_3to6,RF_20_3to6,RF_5_2to6,RF_10_2to6,RF_15_2to6,RF_20_2to6,RF_5_1to6,RF_10_1to6,RF_15_1to6,RF_20_1to6,RF_5_0to6,RF_10_0to6,RF_15_0to6,RF_20_0to6
90,6,66.44,68.56,66.31,69.6,66.16,68.99,65.62,68.89,65.2,68.83,64.92,68.79,51.59,63.56,65.23,54.58,64.36,65.57,55.33,62.93,65.23,53.6,61.89,64.13,52.56,61.27,63.47,51.87,60.86,63.03,65.85,67.88,69.05,69.28,67.97,67.98,66.5,67.58,66.91,65.9,63.75,65.59,62.78,63.19,62.26,63.11,60.84,62.02,61.36,61.53,59.55,61.23,60.77,60.48
