k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,66.67%,66.06%,53.18%,47.27%,45.15%,56.97%,61.52%,64.7%,63.79%
90,1,50,65.15%,63.94%,56.36%,51.52%,48.33%,53.33%,53.64%,51.21%,52.12%
90,1,100,66.06%,62.42%,51.97%,49.24%,48.33%,55.76%,61.21%,64.39%,63.33%
90,1,150,68.18%,59.7%,52.12%,50.45%,50.76%,60.45%,61.82%,58.33%,62.12%
90,1,200,65.45%,60.61%,53.18%,51.82%,47.27%,54.7%,57.88%,61.67%,59.39%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,53.69%,53.3%,51.67%,52.5%,58.51%,59.15%,65.34%,65.42%,69.79%
90,2,50,47.53%,49.26%,54.29%,56.01%,60.68%,70.15%,74.26%,69.35%,67.28%
90,2,100,50.92%,51.04%,59.61%,53.69%,56.37%,63.32%,62.05%,63.29%,63.08%
90,2,150,50.3%,52.23%,53.9%,50.74%,54.17%,70.25%,73.1%,73.91%,71.8%
90,2,200,53.18%,53.39%,56.49%,55.8%,58.42%,65.43%,62.01%,65.97%,68.53%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,65.99%,69.08%,55.99%,57.65%,60.4%,56.97%,60.58%,68.28%,67.17%
180,1,50,62.62%,67.67%,53.44%,55.65%,59.22%,56.03%,64.19%,63.19%,64.02%
180,1,100,65.24%,68.03%,56.57%,56.54%,62.46%,58.88%,62.98%,62.64%,65.67%
180,1,150,65.54%,66.51%,57.43%,58.0%,58.29%,57.16%,61.1%,63.51%,64.38%
180,1,200,64.6%,66.86%,53.64%,57.24%,59.25%,57.04%,59.02%,63.94%,63.43%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,58.15%,62.68%,54.7%,60.18%,56.13%,61.88%,64.73%,64.94%,62.83%
180,2,50,56.85%,56.31%,59.58%,62.02%,54.88%,56.16%,57.56%,60.83%,63.04%
180,2,100,57.74%,54.64%,54.82%,62.02%,58.39%,58.66%,57.56%,59.29%,63.33%
180,2,150,57.62%,55.95%,56.49%,64.11%,65.95%,53.6%,68.21%,67.44%,66.9%
180,2,200,53.63%,51.61%,54.82%,62.98%,56.85%,67.41%,65.83%,68.78%,67.65%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,67.0%,71.31%,61.36%,55.69%,57.52%,66.67%,77.12%,76.81%,77.21%
365,1,50,67.12%,68.64%,63.83%,57.67%,59.29%,65.9%,72.21%,74.43%,72.74%
365,1,100,67.93%,66.5%,62.69%,57.57%,58.71%,67.33%,65.62%,67.76%,68.21%
365,1,150,67.95%,64.57%,63.05%,58.95%,65.38%,69.24%,71.74%,73.76%,74.19%
365,1,200,68.33%,65.76%,63.69%,57.76%,62.64%,63.74%,64.5%,67.29%,67.71%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,63.83%,67.28%,64.67%,66.83%,68.92%,69.22%,78.54%,79.39%,76.83%
365,2,50,64.11%,63.61%,64.33%,64.75%,68.25%,61.72%,72.86%,77.86%,77.26%
365,2,100,64.64%,61.83%,66.67%,72.17%,69.5%,59.46%,71.62%,73.03%,74.51%
365,2,150,63.72%,60.36%,67.33%,68.17%,67.67%,76.58%,77.6%,76.07%,75.81%
365,2,200,63.36%,61.78%,64.25%,68.08%,68.25%,69.25%,71.18%,71.62%,71.54%
