k,#TP,NB,SVM,RF
90,1,76.13%,62.72%,75.09%
90,2,71.42%,61.77%,74.5%
90,3,66.99%,51.87%,66.4%
90,4,67.59%,58.89%,74.33%
90,5,64.12%,53.98%,77.4%
90,6,56.7%,53.56%,63.37%
180,1,74.91%,64.49%,76.33%
180,2,73.9%,60.31%,71.6%
180,3,71.1%,56.89%,67.01%
180,4,66.1%,58.49%,66.04%
180,5,65.26%,59.44%,71.57%
180,6,53.93%,53.68%,59.44%
365,1,74.74%,64.17%,74.47%
365,2,73.77%,62.21%,74.97%
365,3,73.26%,67.08%,74.38%
365,4,71.27%,66.91%,70.82%
365,5,65.31%,63.75%,75.47%
365,6,73.93%,64.67%,46.8%
k,#TP,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,75.73%,76.13%,62.82%,62.72%,62.89%,67.08%,71.56%,73.58%,75.09%
90,2,70.0%,71.42%,53.24%,61.77%,57.67%,66.09%,70.34%,74.46%,74.5%
90,3,68.79%,66.99%,53.66%,51.87%,53.63%,63.09%,63.45%,64.6%,66.4%
90,4,65.64%,67.59%,61.02%,58.89%,59.37%,56.04%,65.72%,71.18%,74.33%
90,5,60.35%,64.12%,57.48%,53.98%,53.42%,72.62%,74.48%,76.46%,77.4%
90,6,60.23%,56.7%,59.02%,53.56%,51.06%,51.34%,61.12%,58.33%,63.37%
180,1,74.76%,74.91%,68.3%,64.49%,61.57%,68.06%,73.29%,76.01%,76.33%
180,2,70.52%,73.9%,62.53%,60.31%,59.67%,65.65%,67.72%,70.66%,71.6%
180,3,67.8%,71.1%,59.06%,56.89%,57.07%,59.12%,66.94%,67.56%,67.01%
180,4,63.4%,66.1%,59.26%,58.49%,56.39%,62.24%,66.47%,67.5%,66.04%
180,5,68.88%,65.26%,62.42%,59.44%,60.56%,68.5%,70.79%,73.0%,71.57%
180,6,56.74%,53.93%,55.0%,53.68%,51.32%,46.63%,58.83%,59.41%,59.44%
365,1,74.86%,74.74%,70.3%,64.17%,64.96%,68.84%,72.59%,73.79%,74.47%
365,2,71.58%,73.77%,64.86%,62.21%,63.32%,66.0%,72.7%,76.27%,74.97%
365,3,71.57%,73.26%,72.28%,67.08%,66.24%,65.83%,66.42%,71.15%,74.38%
365,4,65.73%,71.27%,66.82%,66.91%,66.91%,63.95%,66.95%,71.0%,70.82%
365,5,63.36%,65.31%,67.5%,63.75%,65.62%,68.05%,67.73%,72.27%,75.47%
365,6,66.27%,73.93%,68.5%,64.67%,60.5%,54.37%,53.03%,49.53%,46.8%
