k,#TP,NB,SVM,RF
90,1,76.68%,66.22%,76.69%
90,2,69.05%,60.62%,73.2%
90,3,61.74%,51.18%,60.96%
90,4,66.25%,62.35%,71.05%
90,5,61.0%,55.04%,74.38%
90,6,51.06%,48.94%,63.58%
180,1,73.92%,64.53%,72.92%
180,2,72.74%,59.57%,67.77%
180,3,71.03%,59.67%,70.73%
180,4,66.39%,58.78%,66.48%
180,5,65.03%,58.36%,67.09%
180,6,54.35%,51.94%,59.07%
365,1,74.0%,65.8%,76.18%
365,2,72.9%,63.85%,74.97%
365,3,72.88%,68.11%,77.84%
365,4,71.91%,62.5%,72.23%
365,5,64.77%,65.62%,70.08%
365,6,66.27%,62.5%,57.1%
k,#TP,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,74.6%,76.68%,70.0%,66.22%,65.29%,72.94%,73.63%,75.68%,76.69%
90,2,69.48%,69.05%,56.01%,60.62%,56.99%,68.71%,69.23%,70.73%,73.2%
90,3,66.37%,61.74%,57.81%,51.18%,51.0%,60.44%,60.89%,61.72%,60.96%
90,4,59.52%,66.25%,60.63%,62.35%,64.32%,62.36%,63.89%,66.79%,71.05%
90,5,54.29%,61.0%,52.83%,55.04%,55.69%,70.35%,71.27%,74.48%,74.38%
90,6,50.91%,51.06%,56.82%,48.94%,50.45%,60.98%,65.47%,62.54%,63.58%
180,1,74.91%,73.92%,70.7%,64.53%,64.68%,68.56%,69.51%,72.27%,72.92%
180,2,69.94%,72.74%,62.77%,59.57%,58.34%,63.81%,66.69%,68.44%,67.77%
180,3,66.84%,71.03%,61.97%,59.67%,59.67%,61.75%,67.49%,69.07%,70.73%
180,4,60.69%,66.39%,61.19%,58.78%,59.2%,61.99%,65.79%,68.88%,66.48%
180,5,59.75%,65.03%,60.24%,58.36%,58.42%,63.43%,66.08%,65.3%,67.09%
180,6,52.23%,54.35%,55.07%,51.94%,50.76%,58.4%,61.61%,60.13%,59.07%
365,1,73.33%,74.0%,67.6%,65.8%,64.93%,70.12%,74.41%,75.74%,76.18%
365,2,71.98%,72.9%,63.65%,63.85%,61.51%,68.08%,73.0%,74.41%,74.97%
365,3,70.71%,72.88%,71.66%,68.11%,67.47%,71.8%,74.88%,76.34%,77.84%
365,4,66.23%,71.91%,64.77%,62.5%,63.82%,66.95%,67.41%,71.55%,72.23%
365,5,62.66%,64.77%,70.0%,65.62%,66.25%,66.88%,71.56%,68.12%,70.08%
365,6,63.63%,66.27%,66.33%,62.5%,62.83%,48.0%,50.0%,53.03%,57.1%
