k,#TP,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,77.27%,77.76%,67.1%,64.63%,64.25%,71.95%,75.92%,76.36%,76.61%
90,2,69.13%,65.37%,55.82%,55.65%,52.37%,58.28%,57.41%,61.79%,63.73%
90,3,67.01%,67.77%,52.88%,55.81%,56.16%,67.4%,70.25%,68.23%,67.79%
90,4,69.88%,73.06%,59.81%,59.63%,56.89%,60.65%,65.77%,69.93%,72.42%
90,5,62.38%,69.67%,51.52%,59.6%,57.54%,65.73%,70.08%,68.71%,69.5%
90,6,59.7%,62.05%,60.91%,65.76%,58.9%,62.58%,68.43%,68.41%,66.14%
180,1,75.77%,75.17%,70.33%,65.08%,62.85%,70.07%,72.22%,72.58%,73.38%
180,2,70.01%,69.05%,64.28%,59.16%,58.12%,64.94%,64.64%,66.25%,67.6%
180,3,68.01%,71.21%,60.78%,52.8%,53.01%,67.15%,70.2%,69.76%,71.11%
180,4,73.82%,73.72%,62.7%,62.97%,60.5%,60.93%,68.06%,67.43%,68.38%
180,5,72.2%,70.77%,70.51%,57.62%,56.96%,67.0%,71.26%,71.89%,75.0%
180,6,63.44%,60.76%,62.01%,64.03%,64.58%,52.84%,68.89%,70.76%,72.86%
365,1,75.41%,75.55%,70.02%,66.03%,63.43%,68.67%,72.68%,75.66%,76.32%
365,2,74.44%,74.25%,65.46%,63.18%,64.94%,68.15%,72.0%,71.94%,73.99%
365,3,76.44%,78.03%,72.01%,66.27%,64.69%,67.49%,70.05%,73.46%,73.89%
365,4,77.0%,78.36%,67.86%,60.86%,62.23%,66.14%,69.59%,72.68%,74.09%
365,5,77.27%,78.44%,71.88%,65.0%,66.88%,73.36%,75.39%,77.27%,76.17%
365,6,63.2%,60.27%,61.33%,58.5%,60.83%,58.13%,58.67%,61.5%,59.33%
