k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,77.09%,76.97%,52.06%,55.69%,58.23%,70.83%,74.67%,73.94%,73.69%
90,1,50,76.98%,77.39%,63.96%,64.88%,67.23%,73.96%,75.62%,73.36%,73.59%
90,1,100,76.81%,76.74%,67.49%,68.98%,69.64%,69.47%,72.59%,73.06%,73.69%
90,1,150,76.5%,76.99%,69.01%,70.73%,71.46%,68.71%,72.96%,73.32%,73.51%
90,1,200,76.66%,76.32%,70.67%,71.66%,69.65%,67.03%,68.42%,69.4%,70.12%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,66.45%,65.28%,50.0%,50.45%,50.45%,60.05%,62.29%,63.36%,62.89%
90,2,50,66.79%,66.14%,50.0%,50.63%,52.08%,60.92%,62.1%,62.53%,63.62%
90,2,100,66.07%,65.13%,50.11%,55.98%,55.87%,61.48%,64.05%,63.84%,65.98%
90,2,150,66.23%,65.6%,52.61%,56.02%,58.19%,61.18%,61.34%,61.78%,61.62%
90,2,200,66.24%,65.06%,58.46%,58.53%,58.67%,57.99%,59.82%,59.77%,60.77%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,66.79%,67.27%,50.0%,50.0%,50.0%,53.48%,58.63%,57.96%,58.04%
90,3,50,66.3%,68.02%,50.0%,50.0%,49.82%,60.38%,58.3%,57.75%,58.66%
90,3,100,66.62%,69.01%,49.76%,49.76%,48.72%,62.42%,63.23%,63.16%,61.56%
90,3,150,66.81%,69.13%,51.89%,51.39%,50.66%,57.29%,60.57%,62.14%,61.04%
90,3,200,67.01%,68.81%,56.57%,58.42%,52.96%,63.52%,63.94%,61.86%,61.35%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,64.47%,64.02%,50.0%,49.75%,49.75%,61.51%,63.53%,64.1%,68.82%
90,4,50,63.62%,64.62%,50.0%,49.75%,48.25%,64.05%,64.9%,64.59%,65.58%
90,4,100,63.96%,64.34%,49.5%,47.51%,46.79%,64.57%,65.55%,64.17%,63.28%
90,4,150,64.08%,64.04%,46.76%,50.3%,50.31%,66.85%,66.0%,67.37%,65.63%
90,4,200,63.96%,63.51%,48.58%,48.82%,51.6%,59.94%,61.71%,64.01%,64.79%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,70.46%,73.33%,50.0%,50.0%,50.0%,60.58%,63.85%,66.77%,66.31%
90,5,50,69.92%,73.79%,50.0%,50.94%,53.04%,60.42%,67.42%,67.1%,65.46%
90,5,100,70.5%,74.04%,49.25%,50.12%,49.15%,63.5%,61.42%,62.23%,63.83%
90,5,150,68.58%,73.58%,56.44%,54.6%,52.98%,65.17%,66.31%,65.77%,65.79%
90,5,200,70.62%,74.17%,54.98%,53.0%,53.06%,63.0%,66.19%,69.6%,68.08%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,6,0,65.72%,72.35%,55.0%,67.35%,72.2%,65.55%,68.35%,68.35%,68.83%
90,6,50,62.16%,68.56%,52.73%,61.67%,66.44%,63.31%,64.36%,67.42%,66.76%
90,6,100,61.63%,70.23%,55.45%,64.85%,68.48%,64.24%,68.94%,66.89%,65.83%
90,6,150,60.27%,68.86%,60.38%,63.03%,68.94%,58.56%,61.67%,64.02%,63.18%
90,6,200,61.17%,66.29%,62.8%,64.62%,67.35%,63.03%,64.09%,61.25%,57.35%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,71.95%,72.06%,60.68%,60.53%,60.08%,66.61%,68.28%,68.93%,69.77%
180,1,50,72.21%,71.92%,66.15%,65.74%,65.88%,66.95%,69.28%,69.88%,70.71%
180,1,100,71.82%,71.81%,65.68%,64.93%,62.96%,65.19%,67.72%,68.74%,69.69%
180,1,150,71.99%,71.37%,63.39%,62.25%,63.96%,64.72%,68.5%,70.2%,70.55%
180,1,200,71.85%,71.5%,60.97%,62.61%,61.58%,62.51%,67.48%,68.38%,69.44%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,66.29%,69.67%,51.08%,53.68%,54.09%,60.52%,60.37%,62.59%,63.94%
180,2,50,66.79%,68.14%,61.07%,62.38%,63.87%,61.85%,63.58%,63.62%,64.42%
180,2,100,66.42%,68.09%,65.09%,65.59%,63.84%,63.04%,65.5%,66.08%,66.81%
180,2,150,66.59%,67.96%,63.21%,60.56%,61.92%,60.67%,64.39%,65.69%,65.04%
180,2,200,66.17%,68.64%,57.43%,59.34%,59.33%,62.93%,66.37%,66.13%,66.01%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,0,65.91%,68.49%,49.08%,50.04%,49.83%,68.32%,70.07%,71.21%,70.32%
180,3,50,66.25%,68.53%,57.13%,60.44%,62.55%,67.35%,69.5%,72.11%,70.21%
180,3,100,66.8%,68.01%,60.28%,62.74%,64.31%,67.43%,68.03%,67.55%,68.09%
180,3,150,67.07%,67.84%,63.94%,63.23%,61.83%,69.12%,69.73%,68.79%,68.82%
180,3,200,66.53%,67.87%,58.54%,62.18%,63.26%,68.35%,69.96%,70.96%,70.68%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,76.05%,76.05%,56.82%,61.39%,64.16%,68.06%,67.57%,68.17%,69.41%
180,4,50,74.51%,74.45%,62.99%,63.72%,65.82%,67.47%,67.65%,70.29%,71.13%
180,4,100,74.33%,74.8%,62.0%,62.86%,64.2%,66.05%,69.11%,70.72%,71.75%
180,4,150,73.02%,73.71%,62.59%,63.11%,62.84%,66.13%,68.57%,69.13%,69.86%
180,4,200,73.62%,73.38%,63.33%,63.55%,63.52%,68.5%,70.37%,71.46%,72.74%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,74.62%,74.59%,58.13%,56.91%,57.51%,62.69%,65.86%,69.54%,68.65%
180,5,50,74.63%,73.32%,63.44%,63.69%,60.54%,65.59%,67.39%,66.27%,67.74%
180,5,100,74.1%,73.48%,64.28%,66.11%,62.96%,67.39%,67.91%,66.62%,68.21%
180,5,150,74.24%,73.23%,64.19%,65.28%,62.13%,68.02%,67.22%,67.69%,69.34%
180,5,200,73.8%,73.09%,66.28%,67.53%,61.88%,66.05%,67.46%,70.51%,68.91%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,72.63%,69.85%,47.08%,49.31%,53.68%,66.13%,67.2%,68.77%,67.57%
180,6,50,74.49%,70.66%,55.14%,58.12%,61.88%,66.55%,64.1%,65.66%,65.75%
180,6,100,73.9%,69.61%,59.44%,67.15%,65.07%,64.33%,65.27%,66.21%,65.82%
180,6,150,73.66%,70.72%,63.96%,65.9%,64.1%,61.24%,64.45%,65.36%,63.65%
180,6,200,73.16%,69.46%,69.31%,66.53%,69.38%,64.0%,67.91%,69.9%,68.74%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,75.03%,74.61%,68.65%,69.57%,68.31%,67.37%,69.67%,69.85%,71.57%
365,1,50,74.54%,75.12%,67.29%,67.55%,66.67%,67.61%,70.88%,71.89%,72.19%
365,1,100,74.45%,75.4%,65.0%,66.76%,65.46%,70.56%,71.59%,71.39%,72.15%
365,1,150,74.37%,75.45%,60.58%,64.45%,65.83%,70.85%,71.92%,72.39%,72.03%
365,1,200,74.51%,75.14%,59.59%,60.9%,63.78%,70.49%,72.29%,72.36%,72.2%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,71.35%,71.51%,62.95%,65.5%,66.12%,67.88%,70.53%,71.18%,71.56%
365,2,50,71.51%,72.2%,60.69%,63.07%,65.49%,72.53%,70.68%,72.18%,71.69%
365,2,100,71.32%,72.6%,59.14%,60.22%,61.99%,70.31%,69.03%,68.79%,69.96%
365,2,150,70.88%,72.56%,57.27%,58.79%,62.2%,67.68%,68.55%,69.21%,69.45%
365,2,200,70.76%,72.59%,55.95%,57.31%,59.56%,66.21%,67.1%,67.77%,68.88%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3,0,77.96%,78.74%,70.02%,68.6%,67.78%,70.18%,74.09%,74.64%,74.43%
365,3,50,76.61%,78.48%,70.01%,69.7%,68.77%,71.9%,74.33%,74.98%,75.04%
365,3,100,77.1%,77.91%,65.26%,65.78%,65.95%,68.44%,72.37%,72.8%,73.81%
365,3,150,76.7%,77.32%,63.76%,63.65%,63.51%,69.15%,70.47%,72.09%,72.33%
365,3,200,75.99%,77.44%,58.99%,61.94%,60.57%,69.9%,72.92%,73.95%,75.2%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,4,0,77.64%,77.18%,71.32%,72.18%,68.05%,72.14%,72.41%,73.36%,73.82%
365,4,50,77.64%,78.09%,67.82%,69.09%,70.14%,69.45%,73.09%,73.41%,75.05%
365,4,100,77.64%,77.64%,68.5%,69.32%,66.59%,73.09%,71.64%,72.09%,73.5%
365,4,150,78.55%,78.09%,66.73%,67.95%,64.59%,68.36%,72.45%,72.77%,73.45%
365,4,200,77.73%,77.09%,67.73%,67.55%,64.18%,72.32%,73.23%,73.18%,73.05%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,0,80.78%,79.84%,73.12%,71.25%,70.62%,76.25%,76.48%,77.27%,76.48%
365,5,50,78.75%,79.06%,75.0%,72.5%,73.12%,72.19%,73.05%,72.66%,73.52%
365,5,100,78.91%,78.91%,73.75%,72.5%,71.25%,70.55%,72.89%,74.84%,75.23%
365,5,150,78.91%,78.91%,73.12%,72.5%,71.25%,71.88%,74.53%,74.14%,75.94%
365,5,200,78.91%,77.97%,69.38%,71.25%,71.88%,68.44%,68.59%,69.92%,69.61%
