k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,71.32%,73.92%,48.09%,51.21%,54.85%,92.26%,94.63%,94.59%,95.16%
90,1,50,71.65%,74.87%,56.59%,60.3%,63.53%,92.77%,94.68%,95.22%,95.6%
90,1,100,71.72%,75.18%,60.18%,63.24%,64.89%,89.86%,94.12%,94.86%,95.47%
90,1,150,71.75%,75.11%,62.09%,65.09%,67.08%,92.19%,93.95%,95.08%,95.41%
90,1,200,71.83%,75.32%,66.05%,67.42%,68.21%,88.91%,92.71%,93.15%,94.02%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,68.05%,72.43%,50.0%,51.31%,51.62%,91.24%,93.72%,94.33%,94.72%
90,2,50,69.9%,73.06%,50.0%,51.65%,55.95%,90.55%,93.38%,93.78%,94.62%
90,2,100,69.9%,73.33%,53.25%,59.81%,61.79%,87.37%,90.75%,91.44%,92.44%
90,2,150,70.13%,73.34%,57.42%,61.03%,65.64%,85.94%,89.08%,90.28%,90.19%
90,2,200,69.52%,72.5%,58.73%,62.95%,67.24%,82.57%,86.61%,87.28%,87.69%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,71.91%,74.54%,50.0%,50.0%,50.0%,94.29%,96.48%,96.62%,96.86%
90,3,50,71.9%,75.15%,50.0%,50.0%,50.62%,94.86%,96.09%,96.04%,96.25%
90,3,100,71.72%,75.71%,51.3%,52.51%,52.96%,94.85%,97.26%,97.64%,97.4%
90,3,150,71.18%,75.38%,58.09%,63.14%,63.19%,94.51%,96.13%,96.27%,96.56%
90,3,200,71.63%,75.49%,62.06%,66.5%,66.89%,95.25%,96.16%,96.69%,96.55%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,69.27%,74.05%,50.0%,50.0%,50.0%,96.79%,97.16%,97.17%,97.24%
90,4,50,70.33%,74.65%,50.0%,51.14%,50.71%,95.35%,97.11%,97.73%,97.69%
90,4,100,69.84%,75.05%,50.52%,50.79%,50.87%,96.56%,97.77%,98.03%,98.15%
90,4,150,69.51%,75.03%,54.65%,57.31%,57.36%,96.11%,97.55%,97.73%,97.62%
90,4,200,69.4%,75.27%,55.92%,57.45%,56.98%,96.55%,97.23%,97.46%,97.66%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,88.74%,91.9%,50.0%,50.0%,50.71%,94.94%,95.3%,96.23%,96.71%
90,5,50,89.87%,91.47%,50.0%,54.24%,64.72%,94.07%,96.77%,96.47%,96.1%
90,5,100,90.61%,91.73%,55.02%,75.87%,78.51%,94.78%,96.02%,96.58%,96.62%
90,5,150,91.56%,91.6%,79.94%,79.96%,78.59%,92.86%,93.92%,94.96%,95.61%
90,5,200,91.69%,91.52%,80.43%,79.83%,77.45%,94.09%,94.94%,95.09%,94.65%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,6,0,14.71%,22.62%,50.0%,37.9%,36.14%,32.57%,30.62%,28.52%,28.86%
90,6,50,16.05%,21.48%,48.19%,31.76%,32.1%,33.52%,28.86%,28.0%,27.33%
90,6,100,15.38%,24.05%,39.38%,30.0%,32.48%,29.67%,28.95%,32.24%,32.95%
90,6,150,17.29%,23.76%,35.1%,31.81%,30.1%,28.52%,26.86%,25.48%,27.52%
90,6,200,17.76%,27.95%,31.62%,27.62%,26.14%,32.43%,31.29%,29.95%,28.86%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,71.37%,75.02%,60.64%,61.01%,63.14%,90.55%,93.54%,94.73%,95.13%
180,1,50,71.99%,74.72%,65.57%,65.3%,66.2%,90.45%,93.89%,95.37%,95.79%
180,1,100,71.95%,74.19%,66.1%,65.71%,65.53%,89.71%,93.31%,95.18%,95.71%
180,1,150,72.06%,73.51%,63.77%,64.7%,64.78%,89.81%,93.38%,94.35%,95.47%
180,1,200,72.08%,73.08%,62.75%,63.04%,63.57%,88.73%,92.02%,93.95%,94.8%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,71.71%,76.34%,54.94%,57.56%,58.93%,93.66%,96.23%,97.12%,97.55%
180,2,50,71.63%,76.36%,63.53%,66.02%,67.75%,92.12%,95.33%,96.18%,96.7%
180,2,100,71.68%,76.23%,64.41%,64.41%,65.2%,90.51%,94.4%,95.58%,95.72%
180,2,150,71.32%,75.73%,62.7%,62.21%,63.09%,90.74%,94.42%,95.11%,95.33%
180,2,200,71.47%,75.81%,60.31%,62.52%,63.28%,91.78%,94.46%,94.6%,95.15%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,0,75.1%,77.54%,50.5%,51.48%,51.82%,95.7%,96.99%,97.32%,96.97%
180,3,50,75.18%,77.26%,63.07%,69.58%,68.15%,95.09%,96.33%,97.24%,97.53%
180,3,100,75.31%,77.23%,68.65%,65.32%,65.28%,95.44%,97.4%,97.43%,97.38%
180,3,150,75.34%,76.93%,63.5%,64.22%,65.29%,95.3%,95.87%,96.64%,97.05%
180,3,200,75.11%,77.05%,62.05%,65.15%,66.2%,94.85%,95.75%,95.78%,95.96%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,85.0%,85.87%,62.14%,67.01%,66.29%,94.89%,96.92%,97.19%,97.39%
180,4,50,84.06%,86.32%,74.67%,71.99%,72.3%,94.62%,96.47%,97.53%,98.02%
180,4,100,84.37%,86.52%,70.94%,72.52%,70.22%,93.17%,96.09%,97.19%,97.81%
180,4,150,83.77%,86.14%,68.88%,72.68%,71.92%,94.62%,96.25%,96.63%,96.94%
180,4,200,83.59%,86.29%,69.82%,72.95%,71.88%,94.22%,95.76%,97.21%,97.65%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,17.21%,19.97%,35.24%,42.58%,39.46%,13.46%,11.92%,10.71%,9.95%
180,5,50,17.15%,20.42%,37.26%,44.23%,36.88%,11.15%,7.56%,7.84%,7.55%
180,5,100,17.66%,20.13%,31.23%,39.37%,35.08%,14.95%,11.04%,10.3%,9.28%
180,5,150,17.56%,20.06%,31.01%,40.24%,36.81%,12.2%,12.56%,11.15%,10.35%
180,5,200,17.47%,19.78%,27.04%,37.52%,37.36%,16.36%,12.87%,10.16%,9.74%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,19.93%,19.38%,48.72%,48.12%,48.58%,8.85%,6.15%,5.97%,5.83%
