k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,82.37%,82.0%,52.36%,58.05%,61.78%,93.92%,96.34%,96.85%,97.23%
90,1,50,82.28%,83.14%,67.71%,70.98%,72.81%,93.62%,95.29%,96.11%,96.49%
90,1,100,82.27%,83.33%,71.97%,73.0%,74.35%,89.69%,92.97%,94.11%,94.37%
90,1,150,82.08%,83.52%,73.46%,75.33%,75.91%,89.3%,91.84%,92.91%,93.58%
90,1,200,82.18%,83.49%,75.07%,76.21%,76.73%,89.84%,91.2%,92.28%,92.76%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,74.93%,76.3%,50.0%,50.41%,50.78%,91.36%,93.65%,94.2%,94.81%
90,2,50,73.99%,76.76%,50.0%,50.85%,52.66%,87.6%,91.41%,92.7%,93.21%
90,2,100,74.51%,77.16%,54.08%,59.53%,62.63%,88.32%,89.97%,90.58%,91.8%
90,2,150,73.58%,76.73%,61.46%,64.62%,66.25%,87.89%,90.16%,89.95%,90.37%
90,2,200,73.33%,76.94%,64.96%,66.52%,68.24%,85.89%,88.82%,89.17%,89.83%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,66.23%,67.74%,50.0%,50.0%,50.0%,94.04%,96.59%,96.85%,96.9%
90,3,50,66.46%,68.68%,50.0%,50.0%,49.96%,95.2%,95.92%,96.47%,96.83%
90,3,100,66.63%,69.78%,50.05%,51.06%,51.73%,95.0%,95.72%,96.29%,96.45%
90,3,150,66.74%,70.14%,52.92%,55.23%,55.31%,94.27%,96.56%,96.85%,96.89%
90,3,200,66.73%,70.75%,55.99%,56.09%,55.33%,95.66%,96.8%,96.85%,96.91%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,28.58%,24.55%,49.63%,49.44%,49.44%,8.21%,6.69%,5.27%,4.59%
90,4,50,27.87%,24.13%,49.63%,48.95%,48.2%,7.99%,5.98%,5.55%,5.56%
90,4,100,27.84%,23.77%,48.95%,47.89%,48.65%,6.92%,5.74%,5.4%,5.36%
90,4,150,27.85%,23.62%,45.44%,43.28%,41.97%,6.91%,5.82%,5.65%,5.84%
90,4,200,27.96%,23.24%,45.19%,40.45%,39.27%,8.55%,7.26%,6.52%,5.99%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,77.37%,80.98%,50.0%,50.0%,50.25%,93.46%,95.77%,96.94%,97.1%
90,5,50,77.5%,81.2%,50.0%,52.92%,58.2%,93.4%,96.86%,96.81%,96.79%
90,5,100,77.58%,81.6%,53.11%,61.87%,66.34%,94.74%,95.16%,95.72%,96.51%
90,5,150,77.05%,80.98%,62.35%,65.99%,66.82%,94.27%,95.78%,95.78%,96.48%
90,5,200,76.84%,81.26%,64.05%,67.3%,69.74%,94.52%,95.46%,96.06%,96.53%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,6,0,73.59%,77.53%,50.0%,63.16%,65.0%,81.44%,84.3%,83.62%,84.36%
90,6,50,71.53%,77.37%,52.89%,66.25%,64.43%,79.39%,82.69%,83.24%,83.05%
90,6,100,70.36%,76.89%,58.03%,65.39%,65.23%,81.48%,81.57%,83.6%,83.74%
90,6,150,70.11%,77.39%,62.13%,68.7%,68.34%,82.89%,83.23%,83.78%,83.88%
90,6,200,69.0%,77.31%,61.2%,66.36%,62.98%,79.12%,80.04%,80.4%,81.45%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,77.07%,78.58%,65.83%,66.36%,66.71%,86.27%,89.85%,91.6%,92.62%
180,1,50,76.6%,78.86%,68.82%,68.68%,68.82%,85.12%,90.4%,91.8%,92.65%
180,1,100,76.58%,78.56%,68.06%,67.29%,66.99%,81.94%,85.54%,88.24%,88.51%
180,1,150,76.42%,78.24%,66.09%,65.57%,66.26%,84.67%,87.86%,88.89%,89.74%
180,1,200,76.43%,77.82%,62.46%,62.89%,64.46%,83.09%,85.31%,87.11%,88.47%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,68.69%,75.46%,52.81%,55.38%,57.73%,93.87%,96.22%,96.76%,97.16%
180,2,50,68.77%,75.91%,62.97%,65.79%,68.72%,94.39%,96.42%,96.74%,97.23%
180,2,100,68.63%,75.99%,67.34%,67.07%,67.6%,92.64%,95.27%,96.23%,96.67%
180,2,150,68.68%,75.95%,65.31%,66.18%,66.65%,92.76%,95.21%,96.07%,96.11%
