k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,28.12%,22.87%,49.53%,47.7%,44.16%,10.54%,7.02%,5.74%,5.33%
90,1,50,28.01%,22.96%,40.62%,35.88%,35.02%,10.46%,7.07%,6.09%,5.91%
90,1,100,28.2%,23.21%,34.0%,32.79%,30.4%,13.86%,11.27%,9.77%,9.2%
90,1,150,28.29%,23.13%,33.09%,30.73%,28.35%,15.9%,11.54%,10.56%,9.72%
90,1,200,28.32%,23.66%,31.87%,30.08%,28.66%,14.47%,12.55%,10.95%,10.6%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,63.17%,64.38%,50.0%,50.45%,51.78%,82.22%,88.28%,90.22%,91.72%
90,2,50,64.02%,65.84%,50.0%,52.28%,53.51%,87.95%,89.94%,91.01%,91.38%
90,2,100,64.01%,66.64%,53.17%,55.08%,56.7%,86.48%,90.29%,91.38%,91.4%
90,2,150,63.93%,67.6%,56.5%,57.24%,57.41%,84.91%,88.59%,89.09%,90.24%
90,2,200,63.76%,67.47%,57.34%,56.79%,59.07%,86.76%,88.81%,89.33%,89.78%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,76.81%,78.71%,50.0%,50.0%,50.0%,95.46%,96.62%,97.14%,97.76%
90,3,50,76.82%,79.67%,50.0%,50.0%,50.0%,96.51%,97.4%,97.73%,97.76%
90,3,100,76.58%,80.4%,51.04%,51.65%,51.93%,95.39%,96.45%,96.75%,96.77%
90,3,150,76.47%,80.75%,63.25%,62.93%,62.06%,95.15%,97.11%,97.39%,97.76%
90,3,200,76.79%,81.43%,66.48%,67.69%,66.81%,96.73%,97.08%,97.18%,97.27%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,22.98%,19.47%,48.75%,48.21%,48.21%,7.41%,4.48%,3.26%,3.19%
90,4,50,23.28%,18.11%,48.75%,47.58%,46.58%,3.76%,3.07%,3.37%,2.85%
90,4,100,22.61%,17.27%,48.29%,45.19%,44.35%,4.25%,3.63%,3.3%,2.89%
90,4,150,22.36%,15.23%,43.2%,38.51%,38.2%,4.16%,4.22%,3.4%,3.3%
90,4,200,21.66%,14.92%,38.95%,36.76%,37.15%,6.17%,4.86%,4.73%,4.57%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,72.99%,76.7%,50.0%,50.0%,50.0%,94.9%,96.94%,97.16%,97.11%
90,5,50,74.73%,78.78%,50.0%,50.85%,52.53%,94.73%,95.03%,95.7%,95.58%
90,5,100,74.25%,79.42%,49.91%,54.25%,56.17%,91.94%,93.15%,93.52%,93.71%
90,5,150,74.97%,80.31%,55.78%,55.19%,57.4%,91.72%,93.38%,93.88%,94.1%
90,5,200,75.65%,81.02%,57.11%,56.7%,61.09%,93.88%,95.7%,95.44%,95.51%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,6,0,36.59%,29.27%,51.14%,48.06%,42.56%,43.17%,37.89%,37.25%,38.35%
90,6,50,37.7%,28.95%,47.56%,45.32%,42.16%,38.51%,33.63%,32.41%,31.62%
90,6,100,38.38%,28.13%,40.37%,45.22%,42.78%,34.02%,33.32%,32.56%,32.14%
90,6,150,38.11%,27.27%,43.89%,45.17%,42.95%,34.02%,36.59%,34.84%,35.11%
90,6,200,38.4%,26.54%,43.22%,44.9%,42.86%,35.46%,31.84%,31.51%,30.9%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,24.95%,21.75%,36.36%,35.05%,33.69%,6.76%,4.26%,3.38%,3.16%
180,1,50,24.26%,20.74%,31.93%,30.88%,29.16%,6.25%,4.49%,3.57%,3.04%
180,1,100,24.3%,20.62%,31.14%,30.14%,27.94%,7.48%,4.9%,3.59%,3.27%
180,1,150,24.36%,20.85%,32.3%,30.96%,29.34%,8.13%,5.74%,4.82%,4.33%
180,1,200,24.36%,20.96%,34.02%,32.33%,30.54%,8.41%,5.8%,4.98%,4.49%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,65.03%,67.66%,50.97%,53.44%,55.56%,89.11%,92.43%,93.45%,94.75%
180,2,50,65.83%,68.63%,59.45%,59.39%,59.28%,88.86%,92.84%,94.3%,94.73%
180,2,100,66.21%,69.48%,62.88%,60.98%,62.03%,89.88%,92.75%,93.39%,93.65%
180,2,150,66.14%,69.66%,61.89%,60.86%,62.22%,89.02%,92.22%,93.14%,93.7%
180,2,200,66.32%,70.17%,57.12%,59.57%,61.37%,91.37%,93.75%,94.23%,94.98%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,0,21.77%,22.97%,49.0%,48.59%,48.09%,3.38%,2.71%,2.41%,2.42%
180,3,50,21.48%,23.41%,37.93%,33.82%,29.8%,4.53%,3.79%,2.72%,2.7%
