k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,78.18%,78.69%,61.6%,65.25%,66.88%,77.33%,77.38%,78.29%,79.55%
90,1,50,77.47%,78.9%,69.22%,70.88%,72.61%,72.04%,74.55%,75.64%,77.31%
90,1,100,78.12%,77.17%,72.1%,72.75%,72.52%,80.48%,81.14%,81.31%,82.23%
90,1,150,77.36%,76.84%,71.89%,72.8%,72.8%,78.87%,80.5%,80.29%,79.22%
90,1,200,77.33%,76.52%,70.69%,71.69%,71.04%,75.43%,78.86%,78.32%,79.98%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,64.35%,64.1%,49.38%,49.75%,50.44%,55.23%,63.75%,61.19%,61.33%
90,2,50,64.89%,64.77%,52.44%,49.77%,52.56%,59.5%,61.77%,57.89%,57.03%
90,2,100,65.88%,65.14%,53.02%,56.75%,55.56%,58.64%,54.12%,54.86%,57.52%
90,2,150,63.79%,64.29%,56.06%,59.15%,55.81%,52.98%,54.32%,52.81%,53.99%
90,2,200,64.7%,64.7%,56.98%,57.1%,55.73%,56.04%,57.93%,58.34%,58.43%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,61.42%,58.4%,50.0%,50.0%,50.0%,65.46%,61.83%,60.52%,61.19%
90,3,50,58.32%,56.67%,50.0%,50.87%,51.7%,57.61%,62.0%,61.54%,61.65%
90,3,100,56.75%,56.03%,52.56%,51.38%,50.96%,62.94%,62.62%,61.94%,62.07%
90,3,150,56.39%,56.79%,55.13%,51.41%,53.11%,61.43%,63.28%,63.89%,62.74%
90,3,200,55.81%,58.16%,51.83%,51.03%,48.33%,64.19%,65.93%,65.9%,63.66%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,54.77%,53.45%,50.0%,49.38%,49.38%,44.54%,45.23%,46.02%,46.16%
90,4,50,55.88%,55.53%,49.38%,51.04%,52.08%,53.54%,56.04%,54.17%,55.16%
90,4,100,53.63%,52.11%,48.4%,52.57%,51.11%,52.96%,50.3%,48.94%,47.34%
90,4,150,47.94%,50.72%,52.22%,51.74%,51.74%,49.7%,45.3%,47.59%,52.06%
90,4,200,50.02%,51.13%,58.06%,58.68%,59.24%,50.3%,49.21%,50.67%,50.62%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,67.62%,63.69%,49.29%,47.02%,45.36%,70.77%,67.86%,67.08%,67.92%
90,5,50,63.1%,66.07%,49.64%,51.31%,50.71%,73.57%,71.67%,74.58%,74.17%
90,5,100,64.52%,64.4%,53.93%,51.55%,50.83%,61.73%,67.26%,66.07%,66.07%
90,5,150,63.93%,68.45%,45.24%,50.0%,54.17%,66.43%,69.58%,69.58%,70.83%
90,5,200,63.69%,62.62%,51.9%,56.67%,60.83%,66.43%,73.51%,73.1%,72.26%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,74.99%,75.41%,64.85%,65.59%,67.87%,63.97%,67.47%,69.64%,71.65%
180,1,50,74.81%,74.65%,68.1%,68.14%,67.11%,69.04%,71.82%,73.75%,71.69%
180,1,100,74.7%,74.51%,66.74%,66.34%,65.56%,67.21%,68.77%,69.88%,69.24%
180,1,150,74.57%,74.09%,66.66%,66.07%,64.42%,69.26%,71.11%,70.98%,72.89%
180,1,200,74.52%,73.95%,62.97%,63.39%,62.52%,64.37%,66.81%,68.71%,68.71%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,62.54%,65.67%,52.76%,53.77%,54.1%,62.07%,59.18%,59.65%,59.09%
180,2,50,61.61%,64.28%,56.35%,61.29%,63.52%,60.81%,60.06%,60.87%,61.32%
