k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,79.2%,79.68%,65.94%,63.08%,61.85%,73.03%,77.28%,79.61%,80.96%
90,1,50,79.57%,81.09%,69.62%,65.42%,63.12%,75.65%,77.4%,78.88%,80.68%
90,1,100,79.09%,80.37%,69.25%,66.09%,64.05%,74.02%,77.26%,78.35%,79.93%
90,1,150,79.53%,80.63%,70.63%,64.05%,61.76%,73.87%,77.96%,78.39%,80.44%
90,1,200,78.93%,80.02%,73.74%,66.99%,63.38%,69.85%,73.85%,75.59%,77.71%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,69.34%,70.56%,54.1%,56.4%,52.48%,63.49%,62.69%,66.41%,66.81%
90,2,50,68.5%,67.97%,57.29%,52.58%,52.08%,62.79%,65.29%,66.67%,65.31%
90,2,100,66.68%,65.8%,59.65%,54.81%,55.29%,55.95%,56.76%,57.67%,61.3%
90,2,150,65.7%,64.35%,58.81%,55.48%,50.19%,61.32%,62.3%,63.49%,59.23%
90,2,200,64.55%,62.99%,58.83%,56.58%,54.44%,60.63%,62.65%,61.97%,61.93%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,64.17%,67.78%,53.33%,54.49%,55.29%,57.1%,56.41%,61.35%,63.56%
90,3,50,64.0%,67.14%,53.4%,53.11%,52.72%,66.03%,67.44%,66.68%,64.16%
90,3,100,62.76%,67.93%,55.93%,53.14%,53.11%,57.61%,61.9%,59.66%,62.0%
90,3,150,62.01%,68.4%,55.26%,57.34%,56.96%,56.86%,57.21%,59.11%,61.39%
90,3,200,61.07%,69.94%,51.51%,56.12%,56.15%,61.19%,65.88%,67.47%,69.0%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,70.0%,69.07%,45.42%,59.44%,57.85%,59.68%,61.25%,65.44%,65.62%
90,4,50,68.24%,72.69%,52.22%,56.39%,56.6%,53.26%,55.56%,59.51%,60.53%
90,4,100,64.95%,70.6%,50.9%,56.39%,53.26%,59.65%,63.52%,66.16%,65.02%
90,4,150,65.93%,72.96%,54.24%,54.24%,52.78%,60.65%,67.18%,65.35%,65.6%
90,4,200,67.5%,72.92%,56.67%,55.35%,56.67%,56.0%,60.95%,63.06%,58.73%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,55.24%,57.38%,49.64%,49.76%,51.43%,54.7%,58.1%,59.52%,63.27%
90,5,50,53.81%,52.14%,51.31%,48.21%,48.93%,56.37%,54.11%,64.11%,69.46%
90,5,100,57.5%,48.93%,51.43%,47.5%,48.21%,62.02%,66.07%,67.5%,66.85%
90,5,150,52.98%,50.71%,54.64%,54.05%,57.38%,61.31%,64.82%,68.04%,67.68%
90,5,200,54.29%,48.1%,55.48%,47.5%,49.17%,61.43%,66.9%,68.99%,74.11%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,76.62%,78.1%,65.77%,60.67%,60.48%,65.21%,69.01%,69.38%,70.9%
180,1,50,77.59%,78.14%,67.36%,62.3%,59.53%,69.41%,69.11%,73.11%,72.33%
180,1,100,77.59%,77.83%,67.87%,60.55%,60.59%,64.63%,65.7%,68.14%,68.8%
180,1,150,77.54%,78.09%,65.06%,64.63%,62.48%,61.87%,67.53%,70.27%,72.44%
180,1,200,77.21%,77.35%,66.34%,62.99%,60.61%,66.81%,66.5%,68.27%,68.45%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,69.63%,69.73%,59.97%,57.09%,58.75%,56.88%,57.61%,61.47%,63.75%
180,2,50,68.68%,67.89%,60.72%,56.0%,55.18%,55.89%,63.36%,68.24%,66.47%
180,2,100,69.11%,66.64%,64.05%,60.13%,58.55%,64.07%,67.21%,69.88%,70.3%
180,2,150,68.78%,67.91%,60.68%,57.85%,61.94%,64.55%,65.64%,65.65%,66.64%
180,2,200,66.21%,66.98%,61.02%,59.86%,57.63%,57.67%,62.95%,64.23%,64.93%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,0,70.49%,69.98%,51.78%,53.5%,57.17%,58.71%,64.66%,67.1%,67.9%
180,3,50,69.24%,68.08%,55.89%,55.5%,58.56%,61.69%,61.6%,58.62%,61.01%
180,3,100,67.38%,68.48%,54.11%,53.11%,59.28%,52.74%,62.82%,61.66%,65.26%
180,3,150,67.69%,67.26%,55.5%,57.33%,58.94%,53.07%,59.93%,61.73%,59.14%
180,3,200,66.76%,69.57%,49.94%,60.83%,59.67%,63.88%,60.62%,63.62%,61.91%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,69.81%,68.17%,54.19%,63.74%,65.15%,62.58%,70.43%,62.38%,58.84%
180,4,50,66.86%,69.2%,57.58%,63.89%,64.31%,63.48%,63.29%,67.35%,66.96%
180,4,100,65.36%,66.94%,59.85%,65.44%,62.64%,60.39%,62.14%,68.93%,69.3%
180,4,150,66.1%,68.4%,56.57%,61.39%,61.88%,67.86%,65.63%,63.1%,67.65%
180,4,200,66.57%,68.7%,58.0%,63.52%,59.36%,58.38%,63.02%,60.23%,58.98%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,67.67%,70.0%,64.67%,60.83%,62.33%,66.92%,68.25%,69.33%,72.17%
180,5,50,69.0%,68.67%,65.33%,62.5%,63.33%,71.42%,74.0%,77.67%,76.42%
180,5,100,68.17%,64.0%,66.0%,63.33%,61.83%,70.33%,76.25%,73.83%,75.33%
180,5,150,64.33%,61.33%,67.0%,65.0%,65.0%,66.83%,74.17%,79.17%,79.17%
180,5,200,64.0%,59.17%,64.33%,63.33%,63.33%,66.83%,70.33%,70.25%,73.42%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,76.88%,76.67%,62.93%,63.5%,61.19%,67.27%,69.81%,71.81%,71.23%
365,1,50,76.88%,77.12%,66.12%,63.88%,62.64%,67.97%,70.13%,72.91%,74.23%
365,1,100,76.52%,77.0%,67.04%,64.37%,60.95%,64.58%,69.28%,71.32%,72.45%
365,1,150,76.51%,75.93%,67.23%,64.91%,59.33%,70.44%,71.41%,70.83%,71.57%
365,1,200,75.85%,75.37%,65.09%,63.95%,60.36%,66.5%,70.75%,72.2%,70.77%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,71.23%,71.49%,59.56%,64.18%,64.98%,60.16%,65.29%,66.87%,65.38%
365,2,50,71.14%,71.98%,57.91%,62.1%,65.46%,66.05%,66.13%,68.3%,68.62%
365,2,100,70.7%,72.32%,57.38%,63.4%,64.04%,64.09%,65.59%,65.75%,66.5%
365,2,150,69.71%,71.53%,58.55%,66.54%,67.12%,59.32%,63.83%,66.31%,68.57%
365,2,200,71.44%,71.99%,55.77%,63.12%,64.12%,63.3%,65.49%,67.61%,66.61%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3,0,79.14%,76.23%,61.04%,62.12%,62.46%,63.94%,69.06%,70.9%,69.97%
365,3,50,78.39%,75.3%,61.68%,60.5%,59.79%,67.43%,69.51%,68.08%,70.93%
365,3,100,79.13%,74.57%,61.86%,64.68%,62.92%,65.35%,65.87%,66.9%,70.11%
365,3,150,77.94%,74.27%,61.48%,64.05%,61.54%,67.1%,76.32%,74.74%,77.06%
365,3,200,78.21%,73.39%,62.45%,62.05%,60.71%,73.35%,71.67%,75.27%,73.32%
