k,#TP,%SMOTE,NB,SVM_2,RF_20
90,2,500,26.5%,24.96%,29.8%
90,2_Last,500,25.7%,23.8%,25.09%
90,3,500,21.93%,28.4%,19.14%
90,3_Last,500,20.07%,28.61%,22.98%
90,4,500,33.25%,36.82%,32.29%
90,4_Last,500,27.73%,30.9%,39.52%
90,5,500,37.89%,29.5%,24.17%
90,5_Last,500,24.52%,26.0%,24.79%
k,#TP,%SMOTE,NB,SVM_2,RF_20
180,2,500,41.16%,39.79%,45.11%
180,2_Last,500,41.79%,41.55%,42.52%
180,3,500,82.94%,93.25%,83.05%
180,3_Last,500,89.83%,81.39%,81.86%
180,4,500,89.09%,86.71%,80.81%
180,4_Last,500,89.64%,82.43%,83.22%
180,5,500,49.4%,47.78%,51.0%
180,5_Last,500,45.24%,45.17%,39.69%
k,#TP,%SMOTE,NB,SVM_2,RF_20
365,2,500,53.13%,44.6%,55.34%
365,2_Last,500,51.3%,44.77%,55.74%
365,3,500,64.27%,54.32%,64.1%
365,3_Last,500,66.64%,58.41%,65.13%
365,4,500,77.77%,91.94%,90.0%
365,4_Last,500,81.07%,69.06%,84.57%
365,5,500,80.05%,93.39%,85.48%
365,5_Last,500,76.98%,77.21%,84.81%
