k,#TP,prog,NB,SVM_3,RF
90,1,Slow,82.11%,77.07%,82.66%
90,1,Neutral,65.33%,56.73%,66.79%
90,1,Fast,5.0%,10.0%,24.0%
90,2,Slow,0.0%,4.0%,5.0%
90,2,Neutral,36.5%,32.0%,35.74%
90,2,Fast,0.0%,16.67%,10.67%
k,#TP,prog,NB,SVM_3,RF
180,1,Slow,71.53%,66.99%,72.11%
180,1,Neutral,60.61%,57.75%,66.38%
180,1,Fast,15.67%,24.77%,15.67%
180,2,Slow,35.67%,22.45%,40.83%
180,2,Neutral,59.75%,47.53%,38.85%
180,2,Fast,25.33%,22.5%,48.33%
k,#TP,prog,NB,SVM_3,RF
365,1,Slow,59.11%,74.58%,61.99%
365,1,Neutral,55.44%,57.41%,51.22%
365,1,Fast,48.29%,45.51%,47.38%
365,2,Slow,67.83%,64.12%,59.83%
365,2,Neutral,78.1%,72.49%,69.39%
365,2,Fast,68.8%,65.71%,66.36%
k,#TP,prog,NB,SVM_3,RF
90,1,Slow,66.44%,83.07%,85.67%
90,1,Neutral,61.81%,43.37%,65.0%
90,1,Fast,31.75%,8.33%,30.0%
90,2,Slow,2.5%,23.67%,11.67%
90,2,Neutral,37.0%,28.81%,30.67%
90,2,Fast,11.62%,11.0%,10.0%
k,#TP,prog,NB,SVM_3,RF
180,1,Slow,67.43%,73.91%,75.21%
180,1,Neutral,68.0%,52.9%,67.11%
180,1,Fast,34.54%,40.79%,56.08%
180,2,Slow,37.5%,40.83%,40.0%
180,2,Neutral,54.36%,50.69%,48.42%
180,2,Fast,44.89%,48.58%,55.67%
k,#TP,prog,NB,SVM_3,RF
365,1,Slow,64.81%,67.38%,69.12%
365,1,Neutral,62.05%,49.17%,53.64%
365,1,Fast,73.0%,64.36%,62.5%
365,2,Slow,47.33%,54.83%,48.33%
365,2,Neutral,74.57%,69.96%,72.38%
365,2,Fast,68.43%,70.71%,74.19%
