k,#TP,prog,NB,SVM_3,RF
90,1,Slow,76.98%,67.23%,73.59%
90,1,Neutral,76.98%,67.23%,73.59%
90,1,Fast,76.98%,67.23%,73.59%
90,2,Slow,66.79%,52.08%,63.62%
90,2,Neutral,66.79%,52.08%,63.62%
90,2,Fast,66.79%,52.08%,63.62%
k,#TP,prog,NB,SVM_3,RF
180,1,Slow,72.21%,65.88%,70.71%
180,1,Neutral,72.21%,65.88%,70.71%
180,1,Fast,72.21%,65.88%,70.71%
180,2,Slow,66.79%,63.87%,64.42%
180,2,Neutral,66.79%,63.87%,64.42%
180,2,Fast,66.79%,63.87%,64.42%
k,#TP,prog,NB,SVM_3,RF
365,1,Slow,74.54%,66.67%,72.19%
365,1,Neutral,74.54%,66.67%,72.19%
365,1,Fast,74.54%,66.67%,72.19%
365,2,Slow,71.51%,65.49%,71.69%
365,2,Neutral,71.51%,65.49%,71.69%
365,2,Fast,71.51%,65.49%,71.69%
k,#TP,prog,NB,SVM_3,RF
90,1,Slow,76.98%,67.23%,73.59%
90,1,Neutral,76.98%,67.23%,73.59%
90,1,Fast,76.98%,67.23%,73.59%
90,2,Slow,66.79%,52.08%,63.62%
90,2,Neutral,66.79%,52.08%,63.62%
90,2,Fast,66.79%,52.08%,63.62%
k,#TP,prog,NB,SVM_3,RF
180,1,Slow,72.21%,65.88%,70.71%
180,1,Neutral,72.21%,65.88%,70.71%
180,1,Fast,72.21%,65.88%,70.71%
180,2,Slow,66.79%,63.87%,64.42%
180,2,Neutral,66.79%,63.87%,64.42%
180,2,Fast,66.79%,63.87%,64.42%
k,#TP,prog,NB,SVM_3,RF
365,1,Slow,74.54%,66.67%,72.19%
365,1,Neutral,74.54%,66.67%,72.19%
365,1,Fast,74.54%,66.67%,72.19%
365,2,Slow,71.51%,65.49%,71.69%
365,2,Neutral,71.51%,65.49%,71.69%
365,2,Fast,71.51%,65.49%,71.69%
