k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,21.62%,32.0%,0.0%,0.0%,15.0%,39.89%,26.63%,31.42%,29.23%
90,2_Last,0,33.17%,35.5%,10.0%,34.33%,35.83%,39.05%,36.67%,37.02%,35.83%
90,2,50,23.56%,32.99%,0.0%,20.0%,15.0%,32.97%,31.14%,36.24%,31.44%
90,2_Last,50,33.07%,29.68%,20.0%,30.83%,34.66%,35.6%,42.95%,40.31%,42.04%
90,2,100,33.06%,27.85%,9.17%,16.17%,25.98%,32.03%,29.96%,32.04%,38.68%
90,2_Last,100,35.9%,32.31%,34.29%,39.32%,35.23%,40.88%,40.11%,44.38%,47.38%
90,2,150,31.49%,28.08%,31.92%,38.22%,36.32%,31.7%,31.19%,32.93%,36.25%
90,2_Last,150,35.84%,29.89%,24.15%,31.2%,30.89%,37.22%,32.78%,32.95%,35.84%
90,2,200,28.91%,27.58%,27.92%,29.78%,35.93%,30.83%,30.23%,31.04%,30.74%
90,2_Last,200,32.08%,26.84%,31.87%,29.81%,28.73%,26.27%,29.77%,29.4%,28.56%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,3,0,36.36%,28.33%,0.0%,0.0%,0.0%,22.48%,17.17%,19.67%,20.0%
90,3_Last,0,30.83%,24.17%,0.0%,0.0%,15.0%,12.5%,15.0%,12.5%,18.33%
90,3,50,35.31%,33.61%,0.0%,0.0%,0.0%,21.38%,21.33%,18.52%,13.5%
90,3_Last,50,30.11%,31.12%,0.0%,25.0%,18.33%,19.27%,16.67%,19.67%,19.33%
90,3,100,26.61%,26.68%,0.0%,0.0%,8.33%,18.21%,18.55%,16.62%,21.94%
90,3_Last,100,26.54%,28.9%,3.33%,20.0%,11.67%,9.82%,13.17%,15.06%,12.36%
90,3,150,23.63%,23.22%,19.17%,27.5%,16.67%,28.41%,21.67%,26.91%,27.78%
90,3_Last,150,24.9%,24.02%,23.33%,15.93%,13.83%,17.2%,21.48%,18.89%,21.95%
90,3,200,20.79%,21.88%,42.67%,29.05%,19.69%,27.5%,23.55%,27.74%,26.02%
90,3_Last,200,23.48%,23.64%,17.33%,20.47%,17.57%,29.05%,21.81%,22.69%,19.48%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,4,0,83.38%,82.37%,80.61%,80.41%,80.2%,81.88%,81.43%,80.84%,81.72%
90,4_Last,0,85.95%,83.98%,81.03%,80.76%,80.66%,80.32%,81.97%,81.46%,83.02%
90,4,50,84.97%,84.49%,80.61%,81.28%,80.38%,80.7%,81.31%,82.83%,82.45%
90,4_Last,50,85.79%,84.04%,80.32%,81.47%,80.86%,81.68%,81.71%,82.24%,81.98%
90,4,100,84.87%,84.22%,81.55%,81.29%,81.55%,82.96%,83.71%,83.01%,84.59%
90,4_Last,100,86.14%,82.5%,81.2%,80.69%,79.92%,82.93%,82.1%,81.47%,82.14%
90,4,150,84.87%,85.41%,81.59%,82.42%,83.82%,82.23%,83.02%,82.92%,82.57%
90,4_Last,150,85.1%,83.0%,80.38%,78.74%,77.79%,81.74%,81.17%,81.81%,81.58%
90,4,200,84.64%,84.17%,83.42%,83.05%,83.41%,81.2%,82.41%,83.66%,82.09%
90,4_Last,200,84.88%,84.3%,79.77%,78.33%,77.71%,81.95%,82.81%,84.18%,83.16%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,5,0,33.67%,50.67%,0.0%,0.0%,0.0%,32.5%,25.83%,26.17%,35.0%
90,5_Last,0,29.17%,29.62%,0.0%,24.17%,22.86%,24.0%,18.33%,6.67%,13.33%
90,5,50,37.6%,40.93%,0.0%,20.0%,19.17%,36.0%,39.6%,26.0%,39.17%
90,5_Last,50,28.67%,25.17%,0.0%,15.36%,19.83%,20.0%,28.33%,25.0%,31.67%
90,5,100,35.21%,39.26%,33.33%,28.33%,34.1%,25.0%,28.33%,31.0%,38.0%
90,5_Last,100,22.5%,30.6%,25.33%,28.69%,28.17%,32.02%,35.0%,37.83%,33.5%
90,5,150,34.38%,34.58%,24.0%,29.93%,29.76%,37.67%,41.5%,32.43%,39.1%
90,5_Last,150,23.75%,26.7%,32.86%,23.1%,31.5%,27.0%,30.0%,25.33%,25.67%
90,5,200,34.48%,32.57%,28.0%,32.1%,39.26%,27.83%,30.52%,28.5%,38.86%
90,5_Last,200,28.11%,27.76%,26.0%,21.43%,26.5%,26.5%,21.19%,26.86%,36.33%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,6,0,87.22%,86.82%,85.09%,86.62%,89.32%,85.53%,85.53%,88.89%,88.75%
90,6_Last,0,87.39%,86.96%,85.09%,86.39%,89.18%,86.96%,86.96%,90.0%,89.75%
90,6,50,87.39%,88.26%,84.3%,88.5%,89.32%,85.97%,84.71%,87.9%,87.9%
90,6_Last,50,87.22%,88.39%,84.01%,87.39%,88.21%,86.67%,85.28%,88.46%,88.57%
90,6,100,87.08%,87.26%,85.32%,88.5%,89.32%,81.31%,83.63%,86.42%,86.06%
90,6_Last,100,87.26%,87.51%,84.21%,88.36%,89.18%,80.67%,84.19%,87.17%,87.17%
90,6,150,86.84%,87.1%,86.32%,88.14%,88.82%,85.82%,78.6%,84.82%,79.03%
90,6_Last,150,87.08%,87.39%,83.7%,87.45%,87.29%,85.82%,77.69%,86.65%,83.78%
90,6,200,86.84%,86.38%,86.07%,88.14%,88.82%,87.71%,87.24%,84.06%,84.1%
90,6_Last,200,87.08%,86.04%,83.45%,87.45%,87.29%,88.32%,88.32%,85.14%,85.14%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,43.4%,45.57%,6.67%,21.67%,27.67%,37.88%,43.93%,39.02%,37.34%
180,2_Last,0,46.11%,46.89%,21.67%,40.22%,37.21%,38.12%,40.16%,44.35%,44.29%
180,2,50,42.59%,43.8%,43.86%,46.32%,46.8%,39.91%,38.56%,38.39%,37.79%
180,2_Last,50,45.0%,46.04%,52.53%,43.94%,44.88%,39.0%,42.42%,37.71%,40.29%
180,2,100,40.83%,42.18%,45.8%,44.59%,44.0%,34.64%,36.24%,35.57%,34.91%
180,2_Last,100,42.96%,43.65%,46.42%,45.17%,44.72%,38.28%,41.15%,38.38%,39.92%
180,2,150,37.74%,42.77%,42.04%,42.93%,43.35%,39.07%,37.23%,41.36%,40.55%
180,2_Last,150,39.73%,41.17%,43.2%,44.02%,46.4%,40.64%,39.86%,39.7%,40.72%
180,2,200,38.08%,40.72%,38.77%,39.93%,39.87%,40.03%,38.92%,36.71%,36.46%
180,2_Last,200,39.55%,41.16%,38.94%,41.93%,45.54%,37.6%,39.41%,40.4%,39.69%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,0,76.23%,77.67%,67.81%,71.27%,72.68%,74.46%,75.39%,73.84%,73.52%
180,3_Last,0,75.82%,79.11%,67.47%,71.49%,71.17%,75.49%,74.67%,73.28%,74.15%
180,3,50,81.28%,79.95%,73.7%,77.43%,78.16%,75.43%,78.96%,77.18%,78.15%
180,3_Last,50,82.86%,82.52%,73.02%,76.91%,75.73%,71.92%,73.69%,74.45%,76.6%
180,3,100,84.49%,81.97%,78.89%,80.15%,82.39%,75.87%,81.86%,78.71%,79.09%
180,3_Last,100,83.29%,82.98%,77.79%,80.48%,81.77%,75.99%,77.41%,77.91%,78.01%
180,3,150,82.45%,81.9%,81.38%,84.89%,86.68%,74.51%,75.65%,73.88%,75.68%
180,3_Last,150,82.72%,82.2%,84.31%,87.05%,88.17%,75.82%,80.01%,76.8%,77.83%
180,3,200,84.58%,81.41%,88.35%,89.58%,89.48%,78.72%,80.22%,79.69%,81.71%
180,3_Last,200,84.3%,82.9%,87.92%,88.46%,89.68%,76.75%,81.28%,78.48%,80.48%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
