k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,0,57.78%,56.81%,53.75%,47.92%,49.58%,68.89%,69.97%,72.78%,74.1%
90,1,50,57.99%,58.54%,52.5%,55.0%,53.75%,58.61%,62.57%,61.49%,62.26%
90,1,100,57.99%,56.67%,55.83%,50.42%,50.42%,66.39%,67.71%,70.9%,72.4%
90,1,150,59.24%,56.32%,53.75%,51.25%,50.42%,64.06%,66.22%,67.6%,66.32%
90,1,200,55.42%,56.11%,56.25%,49.58%,55.42%,55.07%,59.69%,61.49%,63.99%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,2,0,64.33%,66.44%,48.89%,56.28%,54.33%,69.28%,65.94%,57.28%,54.5%
90,2,50,59.44%,50.0%,55.56%,58.22%,58.22%,44.83%,63.06%,57.56%,62.44%
90,2,100,58.89%,50.0%,53.94%,56.61%,54.61%,55.28%,64.61%,67.28%,66.17%
90,2,150,60.44%,48.33%,52.22%,49.94%,52.44%,58.72%,60.33%,66.17%,64.61%
90,2,200,60.56%,48.89%,58.72%,57.17%,62.06%,53.22%,57.11%,57.11%,58.78%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,1,0,65.56%,69.1%,58.89%,54.36%,59.22%,70.43%,72.19%,71.53%,71.42%
180,1,50,66.07%,67.87%,56.58%,54.47%,57.22%,64.32%,65.0%,71.98%,71.51%
180,1,100,66.39%,64.84%,58.28%,51.61%,55.72%,63.81%,66.34%,67.7%,72.35%
180,1,150,67.37%,63.26%,55.67%,54.92%,54.36%,64.47%,67.97%,71.14%,72.24%
180,1,200,67.43%,63.76%,55.11%,56.67%,55.61%,60.53%,65.92%,67.69%,70.33%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,2,0,56.07%,59.73%,62.95%,58.66%,56.99%,52.57%,57.84%,56.67%,59.96%
180,2,50,55.39%,58.15%,59.11%,58.57%,58.15%,52.26%,53.24%,53.78%,57.14%
180,2,100,54.85%,58.72%,57.14%,61.58%,58.57%,51.44%,60.46%,57.56%,59.85%
180,2,150,55.0%,54.29%,54.29%,56.79%,58.33%,56.03%,65.52%,69.88%,68.57%
180,2,200,51.7%,54.76%,57.38%,59.73%,63.69%,56.34%,55.91%,56.65%,57.86%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,65.82%,70.22%,57.86%,60.12%,60.36%,73.01%,68.61%,70.36%,70.2%
365,1,50,67.82%,70.77%,57.98%,58.81%,59.64%,65.51%,67.01%,66.29%,67.26%
365,1,100,68.61%,71.17%,58.1%,60.24%,60.83%,58.86%,60.99%,59.18%,59.66%
365,1,150,68.81%,71.0%,56.19%,65.48%,64.76%,67.82%,65.58%,67.57%,69.81%
365,1,200,69.42%,70.53%,58.45%,63.21%,64.64%,66.68%,70.17%,67.47%,67.82%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,62.1%,67.92%,52.42%,59.42%,59.5%,61.09%,58.82%,55.69%,60.08%
365,2,50,60.68%,64.78%,51.75%,56.67%,60.0%,48.09%,55.11%,63.12%,58.52%
365,2,100,65.8%,64.53%,51.58%,58.08%,60.67%,56.84%,62.57%,62.88%,65.4%
365,2,150,62.98%,63.02%,56.75%,61.08%,60.17%,59.3%,62.92%,65.19%,67.06%
365,2,200,63.37%,64.18%,52.67%,58.17%,59.08%,66.69%,68.04%,69.82%,66.92%
